,State,Year,Heart disease,Cancer,Stroke,CLRD,Unintentional injuries,Alzheimer's disease,Diabetes_x,Influenza and pneumonia,Kidney disease,Suicide,Total,Heart disease %,Cancer %,Stroke %,CLRD %,Unintentional injuries %,Alzheimer's disease %,Diabetes %_x,Influenza and pneumonia %,Kidney disease %,Suicide %,Heart disease-AA,Cancer-AA,Stroke-AA,CLRD-AA,Unintentional injuries-AA,Alzheimer's disease-AA,Diabetes_y,Influenza and pneumonia-AA,Kidney disease-AA,Suicide-AA,Total-AA,Heart disease %-AA,Cancer %-AA,Stroke %-AA,CLRD %-AA,Unintentional injuries %-AA,Alzheimer's disease %-AA,Diabetes %_y,Influenza and pneumonia %-AA,Kidney disease %-AA,Suicide %-AA
866,Vermont,2010,1172,1392,265,335,298,238,151,60,50,106,4067.0,28.817310056552742,34.22670272928448,6.515859355790508,8.2370297516597,7.32726825670027,5.851979345955249,3.712810425374969,1.4752889107450209,1.2294074256208507,2.6063437423162035,153.6,183.3,35.3,45.3,42.7,30.8,20.7,8.0,6.7,15.7,542.1000000000001,28.33425567238516,33.81294964028776,6.511713705958308,8.356391809629217,7.876775502674782,5.681608559306399,3.8184836745987814,1.4757424829367272,1.2359343294595089,2.8961446227633267
867,Vermont,2011,1187,1347,227,349,301,257,168,68,43,120,4067.0,29.186132284238997,33.12023604622572,5.581509712318662,8.581263830833539,7.401032702237521,6.319154167691172,4.130808950086059,1.671994098844357,1.0572903860339318,2.9505778214900418,151.7,175.9,29.4,45.5,42.4,32.5,21.5,8.4,5.4,17.8,530.5,28.595664467483505,33.157398680490104,5.541941564561734,8.576814326107446,7.9924599434495756,6.126295947219605,4.0527803958529685,1.5834118755890672,1.0179076343072575,3.355325164938737
868,Vermont,2012,1206,1325,281,364,333,284,168,81,21,87,4150.0,29.06024096385542,31.92771084337349,6.771084337349398,8.771084337349398,8.024096385542169,6.843373493975903,4.048192771084337,1.9518072289156627,0.5060240963855421,2.096385542168675,150.6,165.0,35.9,46.3,47.4,35.3,21.4,9.9,2.6,13.0,527.4,28.555176336746303,31.285551763367465,6.806977626090253,8.778915434205537,8.987485779294653,6.693211983314372,4.057641259006447,1.877133105802048,0.4929844520288207,2.464922260144103
869,Vermont,2013,1220,1318,260,353,352,269,139,77,30,112,4130.0,29.539951573849876,31.91283292978208,6.2953995157385,8.54721549636804,8.523002421307506,6.513317191283292,3.3656174334140436,1.864406779661017,0.7263922518159807,2.711864406779661,149.6,163.4,31.7,44.1,49.6,32.9,17.4,9.3,3.8,16.8,518.6,28.84689548785191,31.50790590050135,6.11261087543386,8.50366370998843,9.56421133821828,6.344003085229463,3.3551870420362513,1.7932896259159274,0.7327419976860778,3.23949093713845
870,Vermont,2014,1311,1379,266,333,322,266,154,74,37,124,4266.0,30.73136427566807,32.32536333802157,6.235349273323957,7.805907172995781,7.548054383497421,6.235349273323957,3.609939052977028,1.7346460384435067,0.8673230192217534,2.906704172526957,156.6,167.9,31.7,41.2,44.4,31.9,18.7,9.3,4.5,18.7,524.9,29.83425414364641,31.987045151457423,6.039245570584873,7.849114116974663,8.458754048390169,6.077348066298343,3.562583349209373,1.7717660506763193,0.8573061535530578,3.562583349209373
871,Vermont,2015,1311,1399,307,357,346,298,159,85,39,103,4404.0,29.768392370572204,31.76657584014532,6.970935513169846,8.106267029972752,7.856494096276112,6.766575840145323,3.610354223433242,1.930063578564941,0.8855585831062671,2.3387829246139873,152.5,165.3,36.4,42.3,48.4,35.1,19.8,10.0,4.5,14.8,529.0999999999999,28.822528822528824,31.241731241731248,6.8796068796068806,7.994707994707996,9.147609147609149,6.633906633906634,3.7422037422037433,1.8900018900018904,0.8505008505008507,2.797202797202798
872,Vermont,2016,1366,1356,247,355,372,310,166,59,30,118,4379.0,31.19433660653117,30.965973966659057,5.640557204841288,8.106873715460152,8.49509020324275,7.079241836035624,3.790819821877141,1.3473395752454898,0.6850879196163508,2.6946791504909795,158.8,158.4,29.2,41.3,54.8,35.8,20.5,7.0,3.7,17.3,526.8000000000001,30.14426727410782,30.068337129840543,5.542900531511009,7.8397873955960495,10.402429764616551,6.795747911921031,3.891419893697798,1.3287775246772966,0.7023538344722855,3.283978739559605
873,Vermont,2017,1332,1434,249,375,394,370,163,86,29,112,4544.0,29.313380281690144,31.558098591549292,5.479753521126761,8.252640845070422,8.670774647887324,8.142605633802818,3.587147887323944,1.8926056338028168,0.6382042253521127,2.464788732394366,152.5,164.5,28.9,43.0,56.9,42.9,19.2,9.7,3.3,18.3,539.1999999999998,28.282640949554903,30.508160237388733,5.3597922848664705,7.97477744807122,10.552670623145403,7.956231454005937,3.5608308605341255,1.7989614243323446,0.6120178041543028,3.393916913946589
874,Virginia,1999,15329,13365,4110,2699,2214,917,1486,1594,1035,791,43540.0,35.20670647680294,30.695911805236562,9.439595774000917,6.198897565457051,5.084979329352319,2.1061093247588425,3.4129536058796512,3.6610013780431787,2.377124483233808,1.8167202572347267,250.9,209.1,68.7,43.8,33.2,15.9,23.6,27.1,16.9,11.2,700.4,35.82238720731011,29.85436893203883,9.808680753854942,6.253569388920617,4.740148486579098,2.2701313535122787,3.3695031410622502,3.869217589948601,2.4129069103369503,1.599086236436322
875,Virginia,2000,15264,13528,4104,2820,2396,1094,1564,1510,1118,768,44166.0,34.560521668251596,30.629896300321512,9.292215731558212,6.385002037766608,5.424987546981841,2.47701852103428,3.541185527328714,3.418919530860843,2.531358963908889,1.7388941719875015,245.5,208.6,67.4,45.1,35.4,18.7,24.4,25.1,17.9,10.8,698.9,35.1266275575905,29.84690227500358,9.643725854914868,6.452997567606239,5.065102303619974,2.6756331377879525,3.4912004578623548,3.5913578480469313,2.5611675490055803,1.5452854485620262
